GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
coffeeCat,tqs.coffeeCat.model,Order,43,62,0,0,17,26,9,10,9,10
coffeeCat,tqs.coffeeCat.model,PickupPoint,14,42,0,0,7,18,4,7,4,7
coffeeCat,tqs.coffeeCat.model,Product,19,37,0,0,10,13,5,6,5,6
coffeeCat,tqs.coffeeCat.model,User,10,56,0,0,5,22,3,9,3,9
coffeeCat,tqs.coffeeCat,CoffeeCatApplication,12,0,0,0,4,0,3,0,3,0
coffeeCat,tqs.coffeeCat.controller,StoreController,5,138,1,17,1,36,1,16,0,8
coffeeCat,tqs.coffeeCat.controller,AuthController,109,0,0,0,27,0,3,0,3,0
coffeeCat,tqs.coffeeCat.payload.request,RegisterRequest,24,0,0,0,11,0,7,0,7,0
coffeeCat,tqs.coffeeCat.payload.request,LoginRequest,23,0,0,0,10,0,5,0,5,0
coffeeCat,tqs.coffeeCat.service,OrderService,0,31,0,0,0,8,0,5,0,5
coffeeCat,tqs.coffeeCat.service,UserService,0,31,0,0,0,6,0,6,0,6
coffeeCat,tqs.coffeeCat.service,AuthService,0,69,0,8,0,15,0,7,0,3
coffeeCat,tqs.coffeeCat.service,ProductService,5,40,0,2,1,9,1,7,1,6
coffeeCat,tqs.coffeeCat.service,PickupPointService,0,65,0,2,0,15,0,9,0,8
coffeeCat,tqs.coffeeCat.service,AuthService.new AuthenticationException() {...},0,7,0,0,0,1,0,1,0,1
coffeeCat,tqs.coffeeCat.service,CustomUserDetailsService,22,0,2,0,7,0,3,0,2,0
